gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Kif5c,ENSMUSG00000026764.16,ENSMUSG00000026764,protein_coding,106.65280845451332,-1.394207605410856,2.2928586255493017e-13,DOWN,1.394207605410856,17.62225812914119
Alg8,ENSMUSG00000035704.18,ENSMUSG00000035704,protein_coding,622.9699523327425,-0.636217049271787,2.547418231857083e-13,DOWN,0.636217049271787,8.012453736033942
Pclaf,ENSMUSG00000040204.7,ENSMUSG00000040204,protein_coding,985.9548502770632,-2.8845550951820944,3.432069779693219e-13,DOWN,2.8845550951820944,35.954375133828925
Nudcd2,ENSMUSG00000020328.11,ENSMUSG00000020328,protein_coding,1015.5029156193908,-0.640631560322405,3.5694774695143037e-13,DOWN,0.640631560322405,7.974194308195755
Ube2v2,ENSMUSG00000022674.16,ENSMUSG00000022674,protein_coding,918.8683416565602,-0.7634342431636603,4.425131527345351e-13,DOWN,0.7634342431636603,9.431522993951607
Ppfia4,ENSMUSG00000026458.14,ENSMUSG00000026458,protein_coding,322.88450928792327,-0.7680733856621762,4.5359485093307443e-13,DOWN,0.7680733856621762,9.48058471054365
Gart,ENSMUSG00000022962.16,ENSMUSG00000022962,protein_coding,1116.0999035815928,-0.6735460378264726,4.721100444432909e-13,DOWN,0.6735460378264726,8.30209933783382
Cbx6,ENSMUSG00000089715.13,ENSMUSG00000089715,protein_coding,355.2858974133607,-0.8334909361311637,6.213929300591477e-13,DOWN,0.8334909361311637,10.174118543178915
Inka1,ENSMUSG00000042106.6,ENSMUSG00000042106,protein_coding,239.849488247211,-0.8883773058685742,7.066181860055474e-13,DOWN,0.8883773058685742,10.794508462119062
Gne,ENSMUSG00000028479.19,ENSMUSG00000028479,protein_coding,301.69459081590105,-0.8484489102569094,7.193027201859193e-13,DOWN,0.8484489102569094,10.302790033019146
C1qbp,ENSMUSG00000018446.9,ENSMUSG00000018446,protein_coding,1327.9179996335138,-0.56866137264802,7.366632252999571e-13,DOWN,0.56866137264802,6.899415470037716
Abcg3,ENSMUSG00000029299.15,ENSMUSG00000029299,protein_coding,160.91277444467124,-1.2585756186462151,7.630613559140586e-13,DOWN,1.2585756186462151,15.250715224132984
Taf9b,ENSMUSG00000047242.15,ENSMUSG00000047242,protein_coding,179.77787864535765,-1.0812768177758103,7.909082824257279e-13,DOWN,1.0812768177758103,13.085475674289357
Stra6l,ENSMUSG00000028327.15,ENSMUSG00000028327,protein_coding,186.23016099097927,-0.9209921750612516,7.909082824257279e-13,DOWN,0.9209921750612516,11.14573114382039
Prune2,ENSMUSG00000039126.11,ENSMUSG00000039126,protein_coding,427.9257564237628,-0.611577859808575,8.269556895268505e-13,DOWN,0.611577859808575,7.389400353047999
Msrb2,ENSMUSG00000023094.15,ENSMUSG00000023094,protein_coding,238.5963048952921,-1.0449015816329623,8.652237385343815e-13,DOWN,1.0449015816329623,12.604513586329267
