gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,gene_name_gtf,gene_type,gene_symbol,regulation_strict,abs_log2FC,rank_score
ENSMUSG00000011752.8,Pgam1,68487.91495169971,0.555060571497599,0.05219664368568275,10.634028019886824,2.0697553783688884e-26,4.0134000801952995e-24,UP,ENSMUSG00000011752,Pgam1,protein_coding,Pgam1,UP,0.555060571497599,12.98646774775622
ENSMUSG00000007872.4,Id3,1090.1013321358148,1.5095028047082846,0.1420151783297385,10.629165293891608,2.180553175114919e-26,4.1796442239329186e-24,UP,ENSMUSG00000007872,Id3,protein_coding,Id3,UP,1.5095028047082846,35.29045577382245
ENSMUSG00000045382.7,Cxcr4,906.9074012627216,1.4660315595586442,0.138316126604881,10.599136886955812,3.007429137605738e-26,5.699078215762874e-24,UP,ENSMUSG00000045382,Cxcr4,protein_coding,Cxcr4,UP,1.4660315595586442,34.07672400744602
ENSMUSG00000040234.17,NA,1265.8135781992437,-0.500143142787511,0.0474612321113991,-10.53793002283622,5.77561355341214e-26,1.0821812541202342e-23,DOWN,ENSMUSG00000040234,Tm7sf3,protein_coding,Tm7sf3,DOWN,0.500143142787511,11.486137370975271
ENSMUSG00000050860.7,Phospho1,760.3142726150386,1.541494506050548,0.14785239298485264,10.425901636968923,1.888594938017405e-25,3.49935657626425e-23,UP,ENSMUSG00000050860,Phospho1,protein_coding,Phospho1,UP,1.541494506050548,34.61581882007846
ENSMUSG00000090213.2,Peds1,8366.810491410406,0.8797371204181297,0.08449733714000784,10.411418278903268,2.199205030838951e-25,4.030103636733005e-23,UP,ENSMUSG00000090213,Peds1,protein_coding,Peds1,UP,0.8797371204181297,19.701434626174834
ENSMUSG00000140314.1,ENSMUSG00000140314,54.24577967316126,1.7211415807661334,0.1665650219132467,10.333151348321907,4.989394096470277e-25,9.043819125297646e-23,UP,ENSMUSG00000140314,ENSMUSG00000140314,lncRNA,ENSMUSG00000140314,UP,1.7211415807661334,37.94023939184686
ENSMUSG00000051439.8,Cd14,68039.21222313333,1.18573328510648,0.11484392860103708,10.324736357858905,5.4468232036988715e-25,9.766798252137893e-23,UP,ENSMUSG00000051439,Cd14,protein_coding,Cd14,UP,1.18573328510648,26.098283409972183
ENSMUSG00000052397.9,Ezr,5827.417415307311,0.837698901420733,0.08128541438992443,10.305648408240978,6.644208883288765e-25,1.1787109291247176e-22,UP,ENSMUSG00000052397,Ezr,protein_coding,Ezr,UP,0.837698901420733,18.369558005804365
ENSMUSG00000003352.15,NA,106.71199113467635,1.5649597145220244,0.15187070935995878,10.304552610028376,6.720364287336297e-25,1.179671524796001e-22,UP,ENSMUSG00000003352,Cacnb3,protein_coding,Cacnb3,UP,1.5649597145220244,34.31681049449336
ENSMUSG00000024527.11,NA,3458.4705104392,0.7357775265692842,0.07173006924045153,10.25758840553787,1.094048453517311e-24,1.9004533344640296e-22,UP,ENSMUSG00000024527,Afg3l2,protein_coding,Afg3l2,UP,0.7357775265692842,15.981928716291131
ENSMUSG00000056962.12,NA,1999.7024769830796,0.8411976866572152,0.08245326305471486,10.202115180074898,1.9400069524280678e-24,3.3352119524423154e-22,UP,ENSMUSG00000056962,Jmjd6,protein_coding,Jmjd6,UP,0.8411976866572152,18.06629888014981
ENSMUSG00000029103.17,NA,8410.358066647592,0.5322431113093128,0.05220522721230082,10.195207256638534,2.0829976312163987e-24,3.5444967855270068e-22,UP,ENSMUSG00000029103,Lrpap1,protein_coding,Lrpap1,UP,0.5322431113093128,11.416851805675977
ENSMUSG00000046997.6,Spsb4,209.6368497122384,0.9966932523440803,0.0977826273532556,10.192948168015208,2.1319880150144567e-24,3.5912153675132407e-22,UP,ENSMUSG00000046997,Spsb4,protein_coding,Spsb4,UP,0.9966932523440803,21.373846144107127
ENSMUSG00000045917.18,NA,1399.5338752948787,-0.7214300798660871,0.07098757367577982,-10.162765713912984,2.9071069631039814e-24,4.847891571672201e-22,DOWN,ENSMUSG00000045917,Tmem268,protein_coding,Tmem268,DOWN,0.7214300798660871,15.376883275240198
ENSMUSG00000056666.14,NA,691.3835710640316,-0.6747859308550835,0.06675170771456794,-10.10889389887201,5.0450632828759055e-24,8.329849040122635e-22,DOWN,ENSMUSG00000056666,Retsat,protein_coding,Retsat,DOWN,0.6747859308550835,14.224057495483184
ENSMUSG00000038179.14,NA,19277.211890775383,0.9673657764489206,0.09667885327279656,10.005970734047974,1.4347756324379375e-23,2.345717494758338e-21,UP,ENSMUSG00000038179,Slamf7,protein_coding,Slamf7,UP,0.9673657764489206,19.95648925871855
ENSMUSG00000001627.13,NA,3068.6482037005217,1.1242121288029367,0.11246423299669892,9.996174773502744,1.583978017828952e-23,2.564506546147147e-21,UP,ENSMUSG00000001627,Ifrd1,protein_coding,Ifrd1,UP,1.1242121288029367,23.148647658705766
